vin_num,year,make,model,trim,body_style,ext_color,int_color,transmission,city_mpg,hwy_mpg,mileage,price,dealership,alert_dt
5N1AR2MN2EC683056,2014,Nissan,Pathfinder,Platinum,SUV,Moonlight White,Charcoal,automatic,20,26,130548,15216,Ancira Nissan,2022-04-01
3GCEC23J59G122066,2009,Chevrolet,Silverado 1500,LT,4D Crew Cab,Graystone Metallic,Light Titanium/Ebony,automatic,14,20,139697,15700,Ancira Chevy,2022-04-01
1FTSW21P36EA37893,2006,Ford,F-250SD,XL,Crew Cab Pickup,Oxford White Clearcoat,Tan,automatic,0,0,201018,15966,Ancira Nissan,2022-04-01
3VW267AJ2GM301414,2016,Volkswagen,Jetta,1.4T S,4dr Car,White,Titan Black,automatic,28,39,68065,15975,Ancira Volkswagen of San Antonio,2022-04-01
2T3WFREV3DW012128,2013,Toyota,RAV4,XLE,Sport Utility,Black,-1,automatic,24,31,107625,15991,Ancira Buick GMC,2022-04-01
3N1CE2CP5HL377511,2017,Nissan,Versa Note,S Plus,Hatchback,Super Black,Charcoal,automatic,31,39,26474,15991,Ancira Nissan,2022-04-01
1GTEC19028Z222830,2008,GMC,Sierra 1500,SLE1,Extended Cab,Dark Crimson Metallic,Ebony,automatic,15,20,95001,15991,Ancira Chevy,2022-04-01
1FADP3FE0HL295649,2017,Ford,Focus,SE,4D Sedan,White,Charcoal Black,automatic,30,40,23111,15991,Ancira Chrysler Dodge Jeep Ram Eagle Pass,2022-04-01
5XXGN4A77FG407999,2015,Kia,Optima,EX,4D Sedan,Smokey Blue,Gray,automatic,23,34,70064,16491,Ancira Chevy,2022-04-01
3C4PDCGG3GT195032,2016,Dodge,Journey,Crossroad Plus,Sport Utility,Granite Crystal Metallic Clearcoat,Black,automatic,17,25,95550,16491,Ancira Kia,2022-04-01
5N1AR2MN3DC675725,2013,Nissan,Pathfinder,SL,SUV,Dark Slate,Almond,automatic,20,26,80490,16491,Ancira Nissan,2022-04-01
1VWBT7A33EC085338,2014,Volkswagen,Passat,1.8T Sport,4dr Car,Silver,Moonrock,automatic,24,34,79123,16624,Ancira Volkswagen of San Antonio,2022-04-01
3C4PDCBB8GT127496,2016,Dodge,Journey,SXT,Sport Utility,Granite Crystal Metallic Clearcoat,Black,automatic,19,26,66758,16909,Ancira Volkswagen of San Antonio,2022-04-01
3KPFK4A74HE111449,2017,Kia,Forte,LX,Sedan,Deep Sea Blue,Black,automatic,29,38,43251,16990,Ancira Nissan,2022-04-01
1G1ZA5ST3GF323225,2016,Chevrolet,Malibu,L,4dr Car,Silver Ice Metallic,Dark Atmosphere/Medium Ash Gray,automatic,27,37,60640,16991,Ancira Volkswagen of San Antonio,2022-04-01
5TDYK3DC7ES469982,2014,Toyota,Sienna,L 7 Passenger,4D Passenger Van,Predawn Gray Mica,Bisque,automatic,18,25,135975,16991,Ancira Chevy,2022-04-01
1N4AL3AP1HN313538,2017,Nissan,Altima,2.5 SR,4D Sedan,Gun Metallic,Sport Interior,automatic,26,37,94006,16991,Ancira Chevy,2022-04-01
1G1BC5SM6J7180986,2018,Chevrolet,Cruze,LS,4D Sedan,Mosaic Black Metallic,Dark Atmosphere/Medium Atmosphere,automatic,29,40,82295,16991,Ancira Chevy,2022-04-01
2G1125S31E9229571,2014,Chevrolet,Impala,LT,4dr Car,Crystal Red Tintcoat,Jet Black/Brownstone,automatic,19,29,48955,16997,Ancira Chrysler Jeep Dodge Ram,2022-04-01
KL8CB6SA4JC477880,2018,Chevrolet,Spark,LS,Hatchback,Silver Ice,Jet Black,automatic,30,38,43064,16998,Ancira Volkswagen of San Antonio,2022-04-01
1GNSCHE0XCR325513,2012,Chevrolet,Suburban 1500,LS,Sport Utility,Crystal Red Tintcoat,Ebony,automatic,15,21,101448,17298,Ancira Chrysler Jeep Dodge Ram,2022-04-01
