vin_num,year,make,model,trim,body_style,ext_color,int_color,transmission,city_mpg,hwy_mpg,mileage,price,dealership,alert_dt
JTHBA1D23G5013263,2016,Lexus,IS,200t,4D Sedan,Nebula Gray Pearl,Black,8-Speed Automatic,22,33,73518,24991,Ancira Chevy,2021-08-28
1FT7W2A69FEA26913,2015,Ford,F-250SD,XL,4D Crew Cab,White,Steel,TorqShift 6-Speed Automatic,0,0,90691,24991,Ancira Chevy,2021-08-28
1G1ZG5ST2LF063635,2020,Chevrolet,Malibu,RS,4D Sedan,Cajun Red Tintcoat,Jet Black,CVT,29,36,19284,24991,Ancira Chevy,2021-08-28
1C4PJLLB6LD580877,2020,Jeep,Cherokee,Latitude Plus,SUV,Velvet Red Pearlcoat,Black,Automatic,22,31,30589,24991,Ancira Nissan,2021-08-28
WA1W7AFP2GA052101,2016,Audi,Q5,Prestige,SUV,Scuba Blue Metallic,Chestnut Brown,Automatic,18,26,74026,24991,Ancira Nissan,2021-08-28
1GKKNKLAXHZ221921,2017,GMC,Acadia,SLE-1,4D Sport Utility,Crimson Red Tintcoat,Jet Black,6-Speed Automatic,21,25,50134,24991,Ancira Chevy,2021-08-28
2T3RFREV6JW849741,2018,Toyota,RAV4,XLE,Sport Utility,Ruby Flare Pearl,Ash,Automatic,22,28,52143,24997,Ancira Chrysler Jeep Dodge Ram,2021-08-28
5TDYKRFH8GS136947,2016,Toyota,Highlander,Limited,Sport Utility,White,-1,Automatic,19,25,108646,24998,Ancira Chrysler Jeep Dodge Ram,2021-08-28
JN8AT2MT5JW467851,2018,Nissan,Rogue,SL,Sport Utility,Pearl White,Platinum,Variable,26,33,24011,24999,Ancira Volkswagen of San Antonio,2021-08-28
1HGCV2F30JA007037,2018,Honda,Accord Sedan,Sport 2.0T,4dr Car,Platinum White Pearl,Black,Automatic,22,32,86503,24999,Ancira Kia,2021-08-28
2C3CDZAG4JH286633,2018,Dodge,Challenger,SXT,Coupe,White Knuckle Clearcoat,Black,Automatic,19,30,52823,25449,Ancira Nissan,2021-08-28
1N6AD0ER3KN721819,2019,Nissan,Frontier,SV,4D Crew Cab,Magnetic Black Pearl,Steel,5-Speed Automatic with Overdrive,16,23,45448,25491,Ancira Volkswagen of Laredo,2021-08-28
1C6RR6LT8GS278043,2016,RAM,1500,Lone Star,Crew Cab,True Blue Pearlcoat,Diesel Gray/Black,Automatic,15,22,99588,25597,Ancira Chrysler Jeep Dodge Ram,2021-08-28
5N1AZ2MJ5KN126350,2019,Nissan,Murano,S,SUV,Deep Blue Pearl,Graphite,Variable,20,28,29335,25991,Ancira Nissan,2021-08-28
1C4RJFBG3HC884768,2017,Jeep,Grand Cherokee,Limited,Sport Utility,Diamond Black Crystal Pearlcoat,Lt Frost Beige/Black,Automatic,18,25,80169,25998,Ancira Chrysler Jeep Dodge Ram,2021-08-28
2C3CCAAG0KH590922,2019,Chrysler,300,Touring,4dr Car,Ceramic Grey Clearcoat,Black,Automatic,19,30,23678,25999,Ancira Kia,2021-08-28
1GKS1AKC6FR207231,2015,GMC,Yukon,SLE,Sport Utility,Quicksilver Metallic,Jet Black,Automatic,16,23,123298,26491,Ancira Buick GMC,2021-08-28
JN1BJ1CV0LW548880,2020,Nissan,Rogue Sport,SV,SUV,Pearl White Tricoat,Light Gray,Variable,25,32,878,26491,Ancira Nissan,2021-08-28
1G1FB1RS4H0107068,2017,Chevrolet,Camaro,1LT,2dr Car,Garnet Red Tintcoat,Jet Black,Automatic,19,28,49320,26538,Ancira Volkswagen of San Antonio,2021-08-28
1FTEW1CF2GKF95913,2016,Ford,F-150,XLT,4D SuperCrew,Magnetic,Medium Earth Gray,6-Speed Automatic Electronic,15,22,122049,26991,Ancira Chevy,2021-08-28
7FARW1H59KE036855,2019,Honda,CR-V,EX,SUV,Lunar Silver Metallic,Black,Variable,28,34,19043,26991,Ancira Nissan,2021-08-28
